SaleID,PID,QTY,Price
1,10,1,3.25
2,5,2,2
3,378,1,2.75
4,10,1,3.25
5,13,2,3.0
6,5,1,1.25
7,20,2,4.7
8,378,2,5.5
9,10,2,6.5
10,10,1,3.25
11,5,1,1.25
12,20,2,4.7
13,378,2,5.5
14,10,2,6.5
15,10,1,3.25
16,10,1,3.25
17,5,2,2
18,378,1,2.75
19,10,1,3.25
20,10,2,6.5
21,10,1,3.25
22,5,1,1.25
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
25,187,1,4
23,276,2,5
24,127,1,4
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
18,378,1,2.75
